Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVAC,RUUseType,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4750,2,Apartment,1/10/2020,1/10/2020,1/10/2020,1,1,2,Public Housing,MACKAY ,Mackay,Whitsunday
4122,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,BURANDA ,Brisbane,Mansfield
4670,2,Apartment,1/01/2021,1/01/2021,1/01/2021,1,1,2,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4508,1,Room,1/04/2021,1/04/2021,1/04/2021,1,1,2,Public Housing,MORETON BAY ,Moreton Bay,Bancroft
4350,2,Apartment,1/09/2020,1/09/2020,1/09/2020,1,1,2,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4717,3,Detached House,1/01/2021,1/01/2021,1/01/2021,1,1,2,Public Housing,EMERALD ,Central Highlands,Gregory
4868,4,Detached House,1/12/2020,1/12/2020,1/12/2020,1,1,2,Public Housing,CAIRNS ,Cairns,Mulgrave
4075,1,Apartment,1/12/2020,1/12/2020,1/12/2020,1,1,2,Public Housing,INALA ,Brisbane,Miller
4511,1,Room,1/09/2020,1/09/2020,1/09/2020,1,1,2,Public Housing,MORETON BAY ,Moreton Bay,Pumicestone
4172,1,Apartment,1/02/2021,1/02/2021,1/02/2021,1,1,2,Public Housing,BURANDA ,Brisbane,Bulimba
4172,1,Apartment,1/06/2021,1/06/2021,1/06/2021,1,1,2,Public Housing,BURANDA ,Brisbane,Bulimba
4304,1,Apartment,1/04/2021,1/04/2021,1/04/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Ipswich
4215,2,Apartment,1/03/2021,1/03/2021,1/03/2021,1,1,2,Public Housing,GOLD COAST ,Gold Coast,Bonney
4172,2,Apartment,1/02/2021,1/02/2021,1/02/2021,1,1,2,Public Housing,BURANDA ,Brisbane,Bulimba
4215,2,Apartment,1/09/2020,1/10/2020,1/10/2020,1,1,2,Public Housing,GOLD COAST ,Gold Coast,Southport
4208,4,Detached House,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,GOLD COAST ,Gold Coast,Coomera
4300,1,Apartment,1/08/2020,1/08/2020,1/08/2020,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
4021,1,Apartment,1/08/2020,1/08/2020,1/08/2020,1,1,2,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4209,4,Detached House,1/07/2020,1/07/2020,1/07/2020,1,1,2,Public Housing,GOLD COAST ,Gold Coast,Coomera
4870,1,Apartment,1/08/2020,1/08/2020,1/08/2020,1,1,2,Public Housing,CAIRNS ,Cairns,Cairns
4870,1,Apartment,1/08/2020,1/08/2020,1/08/2020,1,1,2,Public Housing,CAIRNS ,Cairns,Cairns
4207,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,LOGAN ,Logan,Macalister
4207,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,LOGAN ,Logan,Macalister
4207,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,LOGAN ,Logan,Macalister
4207,5,Detached House,1/12/2020,1/12/2020,1/12/2020,1,1,2,Public Housing,LOGAN ,Logan,Logan
4207,4,Detached House,1/12/2020,1/12/2020,1/12/2020,1,1,2,Public Housing,LOGAN ,Logan,Logan
4305,1,Room,1/03/2021,1/03/2021,1/03/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Ipswich West
4207,4,Detached House,1/04/2021,1/04/2021,1/04/2021,1,1,2,Public Housing,LOGAN ,Logan,Logan
4077,3,Detached House,1/01/2021,1/01/2021,1/01/2021,1,2,3,Public Housing,INALA ,Brisbane,Inala
4077,2,Apartment,1/07/2020,1/07/2020,1/07/2020,1,2,3,Public Housing,INALA ,Brisbane,Inala
4077,3,Detached House,1/07/2020,1/07/2020,1/07/2020,1,2,3,Public Housing,INALA ,Brisbane,Inala
4077,2,Townhouse,1/02/2021,1/02/2021,1/02/2021,1,2,3,Public Housing,INALA ,Brisbane,Inala
4077,1,Apartment,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,INALA ,Brisbane,Inala
4110,3,Detached House,1/08/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,INALA ,Brisbane,Algester
4077,3,Detached House,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,INALA ,Brisbane,Inala
4077,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,2,3,Public Housing,INALA ,Brisbane,Inala
4077,3,Detached House,1/02/2021,1/03/2021,1/03/2021,1,2,3,Public Housing,INALA ,Brisbane,Inala
4030,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,FORTITUDE VALLEY ,Brisbane,Clayfield
4012,2,Townhouse,1/09/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,CHERMSIDE ,Brisbane,Nudgee
4110,3,Cluster House,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,INALA ,Brisbane,Algester
4017,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,CHERMSIDE ,Brisbane,Sandgate
4171,1,Apartment,1/01/2021,1/01/2021,1/01/2021,1,2,3,Public Housing,BURANDA ,Brisbane,Bulimba
4105,1,Apartment,1/12/2020,1/12/2020,1/12/2020,1,2,3,Public Housing,BURANDA ,Brisbane,Toohey
4075,2,Townhouse,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,INALA ,Brisbane,Miller
4179,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,2,3,Public Housing,BAYSIDE ,Brisbane,Lytton
4054,3,Detached House,1/08/2020,1/08/2020,1/09/2020,1,2,3,Public Housing,FORTITUDE VALLEY ,Brisbane,Ferny Grove
4205,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,LOGAN ,Logan,Waterford
4715,3,Detached House,1/02/2021,1/02/2021,1/02/2021,1,2,3,Public Housing,ROCKHAMPTON ,Banana,Callide
4207,2,Duplex,1/08/2020,1/08/2020,1/08/2020,1,2,3,Public Housing,LOGAN ,Logan,Macalister
4207,3,Detached House,1/07/2020,1/07/2020,1/07/2020,1,2,3,Public Housing,LOGAN ,Logan,Macalister
4118,3,Detached House,1/09/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,LOGAN ,Logan,Woodridge
4870,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,2,3,Public Housing,CAIRNS ,Cairns,Cairns
4870,3,Detached House,1/07/2020,1/07/2020,1/07/2020,1,2,3,Public Housing,CAIRNS ,Cairns,Cairns
4870,3,Cluster House,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,CAIRNS ,Cairns,Cairns
4078,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,2,3,Public Housing,INALA ,Brisbane,Inala
4078,3,Detached House,1/11/2020,1/12/2020,1/12/2020,1,2,3,Public Housing,INALA ,Brisbane,Inala
4301,2,Duplex,1/02/2021,1/02/2021,1/02/2021,1,2,3,Public Housing,IPSWICH ,Ipswich,Bundamba
0,3,Detached House,1/08/2020,1/08/2020,1/08/2020,1,2,3,Public Housing,MORETON BAY ,Moreton Bay,Bancroft
4343,2,Townhouse,1/09/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,IPSWICH ,Lockyer Valley,Lockyer
4300,3,Detached House,1/12/2020,1/12/2020,1/12/2020,1,2,3,Public Housing,IPSWICH ,Ipswich,Bundamba
0,3,Detached House,1/12/2020,1/12/2020,1/12/2020,1,2,3,Public Housing,GLADSTONE ,Gladstone,Gladstone
0,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,2,3,Public Housing,GLADSTONE ,Gladstone,Gladstone
4305,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,2,3,Public Housing,IPSWICH ,Ipswich,Ipswich West
4305,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,2,3,Public Housing,IPSWICH ,Ipswich,Ipswich West
4305,2,Townhouse,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,IPSWICH ,Ipswich,Ipswich
4503,3,Detached House,1/07/2020,1/07/2020,1/07/2020,1,2,3,Public Housing,MORETON BAY ,Moreton Bay,Murrumba
4503,2,Cluster House,1/04/2021,1/04/2021,1/04/2021,1,2,3,Public Housing,MORETON BAY ,Moreton Bay,Murrumba
4503,2,Room,1/06/2021,1/06/2021,1/06/2021,1,2,3,Public Housing,MORETON BAY ,Moreton Bay,Murrumba
4503,1,Room,1/06/2021,1/06/2021,1/06/2021,1,2,3,Public Housing,MORETON BAY ,Moreton Bay,Murrumba
4127,4,Detached House,1/08/2020,1/08/2020,1/08/2020,1,2,3,Public Housing,LOGAN ,Logan,Waterford
4114,2,Townhouse,1/08/2020,1/08/2020,1/09/2020,1,2,3,Public Housing,LOGAN ,Logan,Waterford
4114,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,2,3,Public Housing,LOGAN ,Logan,Woodridge
4740,3,Detached House,1/08/2020,1/08/2020,1/08/2020,1,2,3,Public Housing,MACKAY ,Mackay,Mackay
4740,2,Townhouse,1/06/2021,1/06/2021,1/06/2021,1,2,3,Public Housing,MACKAY ,Mackay,Mackay
4305,4,Detached House,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,IPSWICH ,Ipswich,Ipswich
4019,2,Apartment,1/03/2021,1/03/2021,1/03/2021,1,2,3,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4701,2,Duplex,1/12/2020,1/12/2020,1/12/2020,1,2,3,Public Housing,ROCKHAMPTON ,Rockhampton,Keppel
4701,3,Detached House,1/08/2020,1/08/2020,1/08/2020,1,2,3,Public Housing,ROCKHAMPTON ,Rockhampton,Keppel
4303,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,2,3,Public Housing,IPSWICH ,Ipswich,Bundamba
4127,3,Detached House,1/07/2020,1/07/2020,1/07/2020,1,2,3,Public Housing,LOGAN ,Logan,Waterford
0,4,Detached House,1/04/2021,1/04/2021,1/04/2021,1,2,3,Public Housing,GOLD COAST ,Gold Coast,Southport
4215,1,Apartment,1/01/2021,1/01/2021,1/01/2021,1,2,3,Public Housing,GOLD COAST ,Gold Coast,Southport
4385,2,Detached House,1/09/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,TOOWOOMBA AND SOUTH WEST ,Goondiwindi,Southern Downs
4812,4,Detached House,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4811,3,Detached House,1/12/2020,1/12/2020,1/12/2020,1,2,3,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4114,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,2,3,Public Housing,LOGAN ,Logan,Woodridge
4114,2,Apartment,1/04/2021,1/04/2021,1/04/2021,1,2,3,Public Housing,LOGAN ,Logan,Woodridge
4006,2,Apartment,1/07/2020,1/07/2020,1/07/2020,1,2,3,Public Housing,FORTITUDE VALLEY ,Brisbane,McConnel
4053,2,Apartment,1/03/2021,1/03/2021,1/03/2021,1,2,3,Public Housing,CHERMSIDE ,Brisbane,Everton
4215,1,Apartment,1/01/2021,1/01/2021,1/01/2021,1,2,3,Public Housing,GOLD COAST ,Gold Coast,Southport
4503,4,Detached House,1/09/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,MORETON BAY ,Moreton Bay,Murrumba
4034,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,CHERMSIDE ,Brisbane,Nudgee
4012,1,Apartment,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,CHERMSIDE ,Brisbane,Nudgee
4305,1,Duplex,1/09/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,IPSWICH ,Ipswich,Ipswich
4350,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba South
4700,1,Apartment,1/09/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4207,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,LOGAN ,Logan,Macalister
4207,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,LOGAN ,Logan,Macalister
4207,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,LOGAN ,Logan,Macalister
4010,1,Apartment,1/12/2020,1/12/2020,1/12/2020,1,2,3,Public Housing,FORTITUDE VALLEY ,Fraser Coast,Clayfield
4010,1,Apartment,1/12/2020,1/12/2020,1/12/2020,1,2,3,Public Housing,FORTITUDE VALLEY ,Fraser Coast,Clayfield
4304,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,2,3,Public Housing,IPSWICH ,Ipswich,Ipswich
4131,1,Apartment,1/03/2021,1/03/2021,1/03/2021,1,2,3,Public Housing,LOGAN ,Logan,Waterford
4125,4,Detached House,1/06/2021,1/06/2021,1/06/2021,1,2,3,Public Housing,LOGAN ,Logan,Logan
4878,4,Detached House,1/06/2021,1/06/2021,1/06/2021,1,2,3,Public Housing,CAIRNS ,Cairns,Barron River
4077,2,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,INALA ,Brisbane,Inala
4077,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,INALA ,Brisbane,Inala
4077,3,Detached House,1/11/2020,1/11/2020,1/11/2020,1,3,4,Public Housing,INALA ,Brisbane,Inala
4077,2,Detached House,1/03/2021,1/03/2021,1/03/2021,1,3,4,Public Housing,INALA ,Brisbane,Inala
4077,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,3,4,Public Housing,INALA ,Brisbane,Inala
4077,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,3,4,Public Housing,INALA ,Brisbane,Inala
4104,1,Apartment,1/12/2020,1/12/2020,1/12/2020,1,3,4,Public Housing,BURANDA ,Brisbane,Miller
4179,4,Detached House,1/06/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,BAYSIDE ,Brisbane,Lytton
4034,3,Cluster House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,CHERMSIDE ,Brisbane,Nudgee
4179,2,Townhouse,1/05/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,BAYSIDE ,Brisbane,Lytton
4006,2,Apartment,1/10/2020,1/10/2020,1/10/2020,1,3,4,Public Housing,FORTITUDE VALLEY ,Brisbane,McConnel
4805,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,MACKAY ,Whitsunday,Burdekin
4805,4,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,MACKAY ,Whitsunday,Burdekin
4868,2,Duplex,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,CAIRNS ,Cairns,Mulgrave
4870,4,Detached House,1/08/2020,1/08/2020,1/08/2020,1,3,4,Public Housing,CAIRNS ,Cairns,Cairns
4132,3,Detached House,1/05/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,LOGAN ,Logan,Woodridge
4508,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,MORETON BAY ,Moreton Bay,Bancroft
4869,3,Cluster House,1/09/2020,1/09/2020,1/09/2020,1,3,4,Public Housing,CAIRNS ,Cairns,Mulgrave
0,3,Detached House,1/04/2021,1/04/2021,1/04/2021,1,3,4,Public Housing,IPSWICH ,Lockyer Valley,Lockyer
4300,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,3,4,Public Housing,IPSWICH ,Ipswich,Bundamba
4680,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,GLADSTONE ,Gladstone,Gladstone
0,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,GLADSTONE ,Gladstone,Gladstone
4860,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,CAIRNS ,Cassowary Coast,Hill
4860,1,Apartment,1/06/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,CAIRNS ,Cassowary Coast,Hill
4304,1,Apartment,1/03/2021,1/03/2021,1/03/2021,1,3,4,Public Housing,IPSWICH ,Ipswich,Ipswich
4304,2,Apartment,1/05/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,IPSWICH ,Ipswich,Ipswich
4503,3,Detached House,1/07/2020,1/07/2020,1/07/2020,1,3,4,Public Housing,MORETON BAY ,Moreton Bay,Murrumba
4740,1,Apartment,1/04/2021,1/04/2021,1/04/2021,1,3,4,Public Housing,MACKAY ,Mackay,Mackay
4132,3,Detached House,1/08/2020,1/08/2020,1/08/2020,1,3,4,Public Housing,LOGAN ,Logan,Woodridge
4506,2,Duplex,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,MORETON BAY ,Moreton Bay,Morayfield
4022,2,Townhouse,1/11/2020,1/11/2020,1/11/2020,1,3,4,Public Housing,MORETON BAY ,Moreton Bay,Murrumba
4019,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,3,4,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4303,4,Detached House,1/05/2021,1/05/2021,1/06/2021,1,3,4,Public Housing,IPSWICH ,Ipswich,Bundamba
4303,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,3,4,Public Housing,IPSWICH ,Ipswich,Bundamba
4303,4,Detached House,1/09/2020,1/09/2020,1/10/2020,1,3,4,Public Housing,IPSWICH ,Ipswich,Bundamba
4164,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,BAYSIDE ,Redland,Redlands
4814,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Townsville
4812,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Townsville
4814,2,Townhouse,1/04/2021,1/04/2021,1/04/2021,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Townsville
4114,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,LOGAN ,Logan,Woodridge
4114,3,Detached House,1/08/2020,1/08/2020,1/08/2020,1,3,4,Public Housing,LOGAN ,Logan,Woodridge
4114,2,Apartment,1/05/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,LOGAN ,Logan,Woodridge
4114,2,Townhouse,1/08/2020,1/08/2020,1/08/2020,1,3,4,Public Housing,LOGAN ,Logan,Woodridge
4075,4,Detached House,1/07/2020,1/07/2020,1/07/2020,1,3,4,Public Housing,INALA ,Brisbane,Mount Ommaney
4170,1,Apartment,1/10/2020,1/10/2020,1/11/2020,1,3,4,Public Housing,BURANDA ,Brisbane,Bulimba
4305,2,Duplex,1/03/2021,1/03/2021,1/03/2021,1,3,4,Public Housing,IPSWICH ,Ipswich,Ipswich
4300,4,Detached House,1/04/2021,1/04/2021,1/04/2021,1,3,4,Public Housing,IPSWICH ,Ipswich,Jordan
4868,5,Detached House,1/07/2020,1/07/2020,1/07/2020,1,3,4,Public Housing,CAIRNS ,Cairns,Mulgrave
4680,4,Detached House,1/01/2021,1/01/2021,1/01/2021,1,3,4,Public Housing,GLADSTONE ,Gladstone,Gladstone
4215,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,3,4,Public Housing,GOLD COAST ,Gold Coast,Southport
4012,2,Apartment,1/09/2020,1/09/2020,1/09/2020,1,3,4,Public Housing,CHERMSIDE ,Brisbane,Nudgee
4021,1,Apartment,1/08/2020,1/09/2020,1/09/2020,1,3,4,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4700,1,Apartment,1/06/2020,1/06/2020,1/07/2020,1,3,4,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4700,2,Apartment,1/06/2020,1/06/2020,1/07/2020,1,3,4,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4870,1,Apartment,1/08/2020,1/08/2020,1/08/2020,1,3,4,Public Housing,CAIRNS ,Cairns,Cairns
4870,1,Apartment,1/08/2020,1/08/2020,1/08/2020,1,3,4,Public Housing,CAIRNS ,Cairns,Cairns
4207,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,3,4,Public Housing,LOGAN ,Logan,Macalister
4019,2,Townhouse,1/08/2020,1/08/2020,1/08/2020,1,3,4,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4207,4,Detached House,1/12/2020,1/12/2020,1/12/2020,1,3,4,Public Housing,LOGAN ,Logan,Logan
4131,1,Apartment,1/03/2021,1/03/2021,1/03/2021,1,3,4,Public Housing,LOGAN ,Logan,Waterford
4131,1,Apartment,1/03/2021,1/03/2021,1/03/2021,1,3,4,Public Housing,LOGAN ,Logan,Waterford
4131,1,Apartment,1/03/2021,1/03/2021,1/03/2021,1,3,4,Public Housing,LOGAN ,Logan,Waterford
4814,1,Apartment,1/06/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4814,1,Apartment,1/06/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4814,1,Apartment,1/06/2021,1/06/2021,1/06/2021,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4161,2,Townhouse,1/01/2021,1/02/2021,1/02/2021,1,4,5,Public Housing,BAYSIDE ,Redland,Capalaba
4034,2,Detached House,1/10/2020,1/10/2020,1/10/2020,1,4,5,Public Housing,CHERMSIDE ,Brisbane,Aspley
4077,2,Detached House,1/02/2021,1/02/2021,1/02/2021,1,4,5,Public Housing,INALA ,Brisbane,Inala
4053,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,4,5,Public Housing,CHERMSIDE ,Brisbane,Stafford
4152,3,Cluster House,1/06/2021,1/06/2021,1/06/2021,1,4,5,Public Housing,BURANDA ,Brisbane,Bulimba
4017,3,Detached House,1/08/2020,1/08/2020,1/08/2020,1,4,5,Public Housing,CHERMSIDE ,Brisbane,Sandgate
4151,1,Apartment,1/01/2021,1/02/2021,1/02/2021,1,4,5,Public Housing,BURANDA ,Brisbane,Greenslopes
4077,3,Detached House,1/11/2020,1/11/2020,1/11/2020,1,4,5,Public Housing,INALA ,Brisbane,Inala
4170,1,Apartment,1/09/2020,1/09/2020,1/09/2020,1,4,5,Public Housing,BURANDA ,Brisbane,Bulimba
4005,1,Apartment,1/03/2021,1/03/2021,1/03/2021,1,4,5,Public Housing,FORTITUDE VALLEY ,Brisbane,McConnel
0,3,Townhouse,1/07/2020,1/07/2020,1/07/2020,1,4,5,Public Housing,BURANDA ,Brisbane,Chatsworth
4174,2,Townhouse,1/04/2021,1/04/2021,1/04/2021,1,4,5,Public Housing,BAYSIDE ,Brisbane,Lytton
4670,2,Duplex,1/03/2021,1/03/2021,1/03/2021,1,4,5,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4510,4,Detached House,1/01/2021,1/01/2021,1/01/2021,1,4,5,Public Housing,MORETON BAY ,Moreton Bay,Morayfield
4868,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,4,5,Public Housing,CAIRNS ,Cairns,Mulgrave
4078,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,4,5,Public Housing,INALA ,Brisbane,Inala
4301,3,Detached House,1/12/2020,1/12/2020,1/12/2020,1,4,5,Public Housing,IPSWICH ,Ipswich,Bundamba
4303,3,Detached House,1/11/2020,1/11/2020,1/12/2020,1,4,5,Public Housing,IPSWICH ,Ipswich,Bundamba
0,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,4,5,Public Housing,IPSWICH ,Ipswich,Bundamba
4300,3,Detached House,1/07/2020,1/07/2020,1/07/2020,1,4,5,Public Housing,IPSWICH ,Ipswich,Bundamba
4680,4,Detached House,1/10/2020,1/10/2020,1/10/2020,1,4,5,Public Housing,GLADSTONE ,Gladstone,Gladstone
4865,1,Apartment,1/03/2021,1/03/2021,1/03/2021,1,4,5,Public Housing,CAIRNS ,Cairns,Mulgrave
4390,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,4,5,Public Housing,TOOWOOMBA AND SOUTH WEST ,Goondiwindi,Southern Downs
4304,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,4,5,Public Housing,IPSWICH ,Ipswich,Ipswich
4610,2,Apartment,1/10/2020,1/10/2020,1/10/2020,1,4,5,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4501,3,Townhouse,1/04/2021,1/04/2021,1/04/2021,1,4,5,Public Housing,MORETON BAY ,Moreton Bay,Kurwongbah
4132,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,4,5,Public Housing,LOGAN ,Logan,Woodridge
4211,1,Room,1/01/2021,1/01/2021,1/01/2021,1,4,5,Public Housing,GOLD COAST ,Gold Coast,Gaven
4502,2,Apartment,1/01/2021,1/01/2021,1/01/2021,1,4,5,Public Housing,MORETON BAY ,Moreton Bay,Kurwongbah
4502,3,Detached House,1/04/2021,1/04/2021,1/04/2021,1,4,5,Public Housing,MORETON BAY ,Moreton Bay,Kurwongbah
4301,4,Detached House,1/02/2021,1/02/2021,1/02/2021,1,4,5,Public Housing,IPSWICH ,Ipswich,Bundamba
4019,2,Townhouse,1/06/2021,1/06/2021,1/06/2021,1,4,5,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4019,2,Townhouse,1/09/2020,1/09/2020,1/09/2020,1,4,5,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4022,2,Townhouse,1/05/2021,1/05/2021,1/05/2021,1,4,5,Public Housing,MORETON BAY ,Moreton Bay,Murrumba
4019,1,Apartment,1/10/2020,1/10/2020,1/10/2020,1,4,5,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4123,3,Detached House,1/06/2021,1/06/2021,1/06/2021,1,4,5,Public Housing,LOGAN ,Logan,Springwood
4701,2,Cluster House,1/01/2021,1/01/2021,1/01/2021,1,4,5,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4815,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,4,5,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4350,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,4,5,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Condamine
4350,1,Apartment,1/09/2020,1/09/2020,1/09/2020,1,4,5,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4114,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,4,5,Public Housing,LOGAN ,Logan,Woodridge
4114,3,Cluster House,1/04/2021,1/04/2021,1/04/2021,1,4,5,Public Housing,LOGAN ,Logan,Woodridge
4114,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,4,5,Public Housing,LOGAN ,Logan,Woodridge
4114,2,Townhouse,1/06/2021,1/06/2021,1/06/2021,1,4,5,Public Housing,LOGAN ,Logan,Woodridge
4304,2,Duplex,1/04/2021,1/04/2021,1/04/2021,1,4,5,Public Housing,IPSWICH ,Ipswich,Ipswich
4740,1,Room,1/06/2021,1/06/2021,1/06/2021,1,4,5,Public Housing,MACKAY ,Mackay,Mackay
4870,1,Apartment,1/04/2021,1/04/2021,1/04/2021,1,4,5,Public Housing,CAIRNS ,Cairns,Cairns
4865,4,Detached House,1/11/2020,1/11/2020,1/11/2020,1,4,5,Public Housing,CAIRNS ,Cairns,Mulgrave
4305,5,Detached House,1/10/2020,1/10/2020,1/10/2020,1,4,5,Public Housing,IPSWICH ,Ipswich,Ipswich West
4817,1,Apartment,1/11/2020,1/11/2020,1/11/2020,1,4,5,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
